Title,Author,Publication Year,Author's Sex
With Clive In India: Or The Beginnings Of An Empire,G. A. Henty (George Alfed Henty),1884,M
With Wolfe In Canada.  Or The Winning Of A Continent,G. A. Henty (George Alfed Henty),1886,M
Brownsmith'S Boy,"Fenn, George Manville ",1886,M
Bunyip Land; A Story Of Adventure In New Guinea,"Fenn, George Manville ",1884,M
Crown And Sceptre; A West Country Story,"Fenn, George Manville ",1889,M
Dick O' The Fens; A Tale Of The Great Eastern Swamp,"Fenn, George Manville ",1888,M
Menhardoc; A Story Of Cornish Nets and Mines ,"Fenn, George Manville ",1885,M
Middy And Ensign,"Fenn, George Manville ",1883,M
Mother Carey'S Chicken,"Fenn, George Manville ",1888,M
Patience Wins; Or War In The Works,"Fenn, George Manville ",1886,M
Quicksilver; Or The Boy With No Skid To His Wheel ,"Fenn, George Manville ",1889,M
Son Philip ,"Fenn, George Manville ",1886,M
The Bag Of Diamonds,"Fenn, George Manville ",1887,M
The Devon Boys; A Tale Of The North Shore,"Fenn, George Manville ",1887,M
The Giant of the North,"Ballantyne, Robert Michael",1881,M
The Golden Magnet,"Fenn, George Manville ",1883,M
The New Forest Spy,"Fenn, George Manville ",1885,M
The Silver Canyon,"Fenn, George Manville ",1884,M
Three Boys; Or The Chiefs Of The Clan Mackhai,"Fenn, George Manville ",1889,M
Through Forest And Stream; Or The Quest Of The Quetzal,"Fenn, George Manville ",1884,M
Kidnapped,"Stevenson, Robert Louis ",1886,M
A Dog With A Bad Name,"Reed, Talbot Baines",1894,M
Follow My Leader,"Reed, Talbot Baines",1885,M
My Friend Smith A Story Of School And City Life ,"Reed, Talbot Baines",1889,M
Reginald Cruden A Tale Of City Life,"Reed, Talbot Baines",1885,M
Sir Ludar A Story Of The Days Of The Great Queen Bess,"Reed, Talbot Baines",1889,M
The Fifth Form At Saint Dominic's,"Reed, Talbot Baines",1881,M
The Master Of The Shell,"Reed, Talbot Baines",1887,M
The Willoughby Captains ,"Reed, Talbot Baines",1887,M
Adventures In Africa,"Kingston, William Henry Giles",1883,M
Adventures In Australia ,"Kingston, William Henry Giles",1885,M
Prince Prigio,"Lang, Andrew",1889,M
The  Gold Of Fairnilee,"Lang, Andrew",1888,M
The Princess And Curdie,"MacDonald, George",1883,M
Battles With The Sea,"Ballantyne, Robert Michael",1883,M
Blown To Bits Or The Lonely Man Of Rakata,"Ballantyne, Robert Michael",1889,M
Blue Lights,"Ballantyne, Robert Michael",1888,M
Dusty Diamonds Cut And Polished,"Ballantyne, Robert Michael",1884,M
My Doggie And I,"Ballantyne, Robert Michael",1881,M
Post Haste,"Ballantyne, Robert Michael",1880,M
Red Rooney,"Ballantyne, Robert Michael",1886,M
The Battery And The Boiler,"Ballantyne, Robert Michael",1882,M
The Big Otter,"Ballantyne, Robert Michael",1887,M
The Crew Of The Water Wagtail,"Ballantyne, Robert Michael",1880,M
The Eagle Cliff,"Ballantyne, Robert Michael",1890,M
The Fugitives. The Tyrant Queen Of Madagascar,"Ballantyne, Robert Michael",1887,M
The Island Queen,"Ballantyne, Robert Michael",1885,M
The Life Of A Ship From The Launch To The Wreck,"Ballantyne, Robert Michael",1882,M
The Lively Poll,"Ballantyne, Robert Michael",1886,M
The Middy And The Moors. An Algerine Story,"Ballantyne, Robert Michael",1888,M
The Prairie Chief,"Ballantyne, Robert Michael",1886,M
The Red Man'S Revenge. A Tale Of The Red River Flood,"Ballantyne, Robert Michael",1880,M
The Rover Of The Andes,"Ballantyne, Robert Michael",1885,M
The Thorogood Family,"Ballantyne, Robert Michael",1883,M
The Young Trawler,"Ballantyne, Robert Michael",1884,M
Twice Bought,"Ballantyne, Robert Michael",1885,M
The Crown of Success,"Tucker, Charlotte Maria (A. L. O. E.)",1863,F
The Children's Tabernacle; Or: Hand-Work and Heart-Work,"Tucker, Charlotte Maria (A. L. O. E.)",1875,F
Flora,"Tucker, Charlotte Maria (A. L. O. E.)",1858,F
Hair-Breadth Escapes: The Adventures of Three Boys in South Africa,"Adams, H. C. (Henry Cadwallader)",1876,M
Perils in the Transvaal and Zululand,"Adams, H. C. (Henry Cadwallader)",1887,M
The Young Fur-traders: A Tale of the Far North; Or: Snowflakes and Sunbeams,"Ballantyne, R. M. (Robert Michael)",1856,M
Martin Rattler,"Ballantyne, R. M. (Robert Michael)",1858,M
The Lighthouse,"Ballantyne, R. M. (Robert Michael)",1865,M
Fighting the Whales,"Ballantyne, R. M. (Robert Michael)",1863,M
The Pioneers,"Ballantyne, R. M. (Robert Michael)",1872,M
The Pirate City: An Algerine Tale,"Ballantyne, R. M. (Robert Michael)",1874,M
Life in the Red Brigade: London Fire Brigade,"Ballantyne, R. M. (Robert Michael)",1873,M
Rivers of Ice,"Ballantyne, R. M. (Robert Michael)",1875,M
The Settler and the Savage,"Ballantyne, R. M. (Robert Michael)",1877,M
In the Closed Room,"Burnett, Frances Hodgson",1904,F
"Racketty-Packetty House, as Told by Queen Crosspatch","Burnett, Frances Hodgson",1906,F
Little Saint Elizabeth and Other Stories,"Burnett, Frances Hodgson",1888,F
Barty Crusoe and His Man Saturday,"Burnett, Frances Hodgson",1909,F
The Cozy Lion,"Burnett, Frances Hodgson",1907,F
The Good Wolf,"Burnett, Frances Hodgson",1908,F
Two Little Pilgrims' Progress: A Story of the City Beautiful,"Burnett, Frances Hodgson",1895,F
Through the Looking-Glass,"Carroll, Lewis",1871,M
Maud Florence Nellie; or: Don't Care,"Coleridge, Christabel Rose",1890,F
The Constant Prince,"Coleridge, Christabel Rose",1879,F
The Adventures of Dick Maitland: A Tale of Unknown Africa,"Collingwood, Harry",1911,M
The Congo Rovers: A Story of the Slave Squadron,"Collingwood, Harry",1885,M
Under the Chilian Flag: A Tale of War between Chili and Peru,"Collingwood, Harry",1908,M
A Middy in Command: A Tale of the Slave Squadron,"Collingwood, Harry",1908,M
The Log of a Privateersman,"Collingwood, Harry",1896,M
Under the Meteor Flag: Log of a Midshipman during the French Revolutionary War,"Collingwood, Harry",1884,M
A Middy of the Slave Squadron: A West African Story,"Collingwood, Harry",1910,M
The Rover's Secret: A Tale of the Pirate Cays and Lagoons of Cuba,"Collingwood, Harry",1887,M
The Pirate Island: A Story of the South Pacific,"Collingwood, Harry",1884,M
A Pirate of the Caribbees,"Collingwood, Harry",1898,M
The Cruise of the Thetis: A Tale of the Cuban Insurrection,"Collingwood, Harry",1909,M
The Castaways,"Collingwood, Harry",1899,M
The Pirate Slaver: A Story of the West African Coast,"Collingwood, Harry",1895,M
Across the Spanish Main: A Tale of the Sea in the Days of Queen Bess,"Collingwood, Harry",1906,M
Two Gallant Sons of Devon: A Tale of the Days of Queen Bess,"Collingwood, Harry",1912,M
A Middy of the King: A Romance of the Old British Navy,"Collingwood, Harry",1911,M
With Airship and Submarine: A Tale of Adventure,"Collingwood, Harry",1907,M
"The Cruise of the ""Esmeralda""","Collingwood, Harry",1894,M
The First Mate: The Story of a Strange Cruise,"Collingwood, Harry",1914,M
The Voyage of the Aurora,"Collingwood, Harry",1885,M
In the Days of Chivalry: A Tale of the Times of the Black Prince,"Everett-Green, Evelyn",1893,F
The Lord of Dynevor: A Tale of the Times of Edward the First,"Everett-Green, Evelyn",1892,F
Tom Tufton's Travels,"Everett-Green, Evelyn",1898,F
A Heroine of France: The Story of Joan of Arc,"Everett-Green, Evelyn",1906,F
The Sign of the Red Cross: A Tale of Old London,"Everett-Green, Evelyn",1904,F
For the Faith: A Story of the Young Pioneers of Reformation in Oxford,"Everett-Green, Evelyn",1902,F
The Secret Chamber at Chad,"Everett-Green, Evelyn",1894,F
In the Wars of the Roses: A Story for the Young,"Everett-Green, Evelyn",1901,F
French and English: A Story of the Struggle in America,"Everett-Green, Evelyn",1899,F
The Lost Treasure of Trevlyn: A Story of the Days of the Gunpowder Plot,"Everett-Green, Evelyn",1894,F
Esther's Charge: A Story for Girls,"Everett-Green, Evelyn",1900,F
"A Clerk of Oxford, and His Adventures in the Barons' War","Everett-Green, Evelyn",1898,F
Fallen Fortunes,"Everett-Green, Evelyn",1906,F
The Peace Egg and Other tales,"Ewing, Juliana Horatia",1895,F
"Mary's Meadow, and Other Tales of Fields and Flowers","Ewing, Juliana Horatia",1883,F
"Eric; Or, Little by Little","Farrar, Frederic William",1858,M
The Jungle Baby,"Farrow, George Edward",1900,M
The Wallypug in London,"Farrow, G. E. (George Edward)",1898,M
"Turns of Fortune, and Other Tales","Hall, Anna Maria (S. C., Mrs.)",1851,F
Tom Brown at Oxford,"Hughes, Thomas",1861,M
"Westward Ho! Or, The Voyages and Adventures of Sir Amyas Leigh, Knight, of Burrough, in the County of Devon, in the Reign of Her Most Glorious Majesty Queen Elizabeth","Kingsley, Charles",1855,M
Stalky & Co.,"Kipling, Rudyard",1899,M
The Second Jungle Book,"Kipling, Rudyard",1895,M
"""Captains Courageous"": A Story of the Grand Banks","Kipling, Rudyard",1897,M
The Princess Nobody: A Tale of Fairyland,"Lang, Andrew",1884,M
Mr. Midshipman Easy,"Marryat, Frederick",1836,M
The Settlers in Canada,"Marryat, Frederick",1844,M
A Sweet Girl Graduate,"Meade, L. T.",1891,F
Wild Kitty,"Meade, L. T.",1897,F
Light O' the Morning: The Story of an Irish Girl,"Meade, L. T.",1899,F
The Honorable Miss: A Story of an Old-Fashioned Town,"Meade, L. T.",1890,F
A Little Mother to the Others,"Meade, L. T.",1896,F
A Girl in Ten Thousand,"Meade, L. T.",1896,F
"Sue, A Little Heroine","Meade, L. T.",1910,F
Dickory Dock,"Meade, L. T.",1890,F
A Modern Tomboy: A Story for Girls,"Meade, L. T.",1904,F
"Red Rose and Tiger Lily; Or, In a Wider World","Meade, L. T.",1894,F
A Young Mutineer,"Meade, L. T.",1905,F
Betty Vivian: A Story of Haddo Court School,"Meade, L. T.",1910,F
Girls of the Forest,"Meade, L. T.",1902,F
The Children of Wilton Chase,"Meade, L. T.",1891,F
A Bunch of Cherries: A Story of Cherry Court School,"Meade, L. T.",1898,F
Good Luck,"Meade, L. T.",1896,F
The School Queens,"Meade, L. T.",1910,F
Daddy's Girl,"Meade, L. T.",1900,F
A Very Naughty Girl,"Meade, L. T.",1901,F
The Lady of the Forest: A Story for Girls,"Meade, L. T.",1892,F
A Plucky Girl,"Meade, L. T.",1900,F
The Girls of St. Wode's,"Meade, L. T.",1898,F
Girls of the True Blue,"Meade, L. T.",1901,F
A Bevy of Girls,"Meade, L. T.",1905,F
David's Little Lad,"Meade, L. T.",1877,F
Dumps - A Plain Girl,"Meade, L. T.",1905,F
Mou-Setsé: A Negro Hero; The Orphans' Pilgimage: A Story of Trust in God,"Meade, L. T.",1880,F
Three Girls from School,"Meade, L. T.",1907,F
The Little School-Mothers,"Meade, L. T.",1907,F
Jill: A Flower Girl,"Meade, L. T.",1892,F
A London Baby: The Story of King Roy,"Meade, L. T.",1882,F
A Ring of Rubies,"Meade, L. T.",1906,F
Scamp and I: A Story of City By-Ways,"Meade, L. T.",1872,F
The Squire's Little Girl,"Meade, L. T.",1902,F
Turquoise and Ruby,"Meade, L. T.",1906,F
Girls New and Old,"Meade, L. T.",1895,F
