Year,Lexical Richness
1835,0.12615632954616005
1839,0.08300936109263901
1841,0.07157025964365414
1850,0.12679667750090284
1851,0.11838106639653743
1853,0.043709904947435596
1854,0.11315661478599222
1855,0.1024619153597985
1856,0.04143139841688654
1857,0.10592697124713353
1857,0.14052779778665445
1858,0.13534227008021096
1860,0.0818236482215267
1860,0.13331886574074073
1861,0.08445137137072803
1862,0.1027999149061513
1863,0.10442168955084943
1866,0.1090881823635273
1867,0.11804397872509327
1868,0.12093142930657404
1869,0.10697271546123863
1869,0.14915895710681246
1869,0.11506207199619145
1870,0.11484958960467627
1871,0.17005144868670458
1872,0.12644244994575402
1872,0.18703924734957522
1872,0.09977410353271703
1873,0.1060115750824569
1875,0.11474832805350228
1875,0.09688662390533931
1875,0.10465596448665669
1876,0.09101436391709165
1876,0.10848615269461077
1876,0.08670068735680067
1877,0.09727537816657554
1877,0.08967229741545134
1877,0.0827428000363405
1877,0.06745258670929284
1878,0.08412767186597342
1879,0.10886313939468252
1879,0.1468241095179394
1879,0.07886196667131225
1880,0.11260070493454179
1880,0.16825305947183855
1880,0.08349888381428308
1882,0.12054493222012748
1882,0.11092430165900298
1882,0.1275671028751552
1883,0.10587965089572807
1883,0.064077045018415
1883,0.05816609715116389
1883,0.07613827050005594
1884,0.08888789277869918
1886,0.10464481191823644
1886,0.07892194253750318
1886,0.11921301483440147
1886,0.07979272096212425
1886,0.0837780261964523
1886,0.08114260828252434
1887,0.11084242492408053
1887,0.061828120872198175
1887,0.0737561317449194
1887,0.09465063861758076
1888,0.11069706269180184
1888,0.13006776839852574
1888,0.1886143759494683
1888,0.10363861249053886
1888,0.08699838081484398
1888,0.06498225865655206
1889,0.07572407694008401
1889,0.08480573334535292
1889,0.09491038664042972
1890,0.09014248328002326
1890,0.07611253434105741
1890,0.06782359496895399
1890,0.0808517125724159
1891,0.07358984930905609
1891,0.08005018215155975
1892,0.09446326906207538
1892,0.07631333992669731
1892,0.07233776838464864
1893,0.05815312873498658
1893,0.06936085202763746
1894,0.060494665760978145
1894,0.10203305755200319
1894,0.07147776650763239
1894,0.07155570575644925
1895,0.08856643098223745
1895,0.14328394610084752
1895,0.06861347105556422
1895,0.078695289089748
1896,0.06584476701796249
1896,0.0668450151596219
1897,0.06212592907442934
1897,0.07018256294360677
1897,0.08251557911324403
1898,0.07091915946432871
1898,0.0913143302138858
1898,0.07248679876181491
1898,0.06154267895692698
1899,0.0627926973451871
1899,0.06688292671938005
1899,0.15093932196069965
1899,0.07457838621474318
1900,0.07762049207954162
1900,0.05828005149675981
1900,0.08148920129495765
1901,0.0968536802051729
1901,0.05630257260391724
1901,0.05439131157533108
1901,0.0708
1901,0.09171213302156404
1901,0.07559635751756903
1902,0.08336893255727025
1902,0.06264581991702121
1902,0.06516621150767492
1902,0.38911290322580644
1903,0.25316901408450704
1903,0.3442622950819672
1904,0.15689381933438987
1904,0.07537779797750256
1904,0.055560955065280075
1904,0.0859724975416361
1904,0.3401015228426396
1904,0.36715481171548114
1905,0.06362305673329295
1905,0.06172245434486644
1905,0.0851023640352789
1905,0.33528550512445093
1905,0.23953725757060224
1906,0.1470715835140998
1906,0.07985885283332181
1906,0.09222223584662735
1906,0.0655787106794316
1906,0.08515544926545951
1906,0.07802946567235179
1907,0.1915023689439095
1907,0.059251098683974185
1907,0.06275416001178057
1907,0.08622090661094665
1908,0.1289234517005528
1908,0.3430711610486891
1908,0.2763010108573568
1909,0.09414995341538764
1909,0.3979416809605489
1909,0.36038647342995167
1910,0.05779611271883915
1910,0.07282044366529566
1910,0.06176667978061142
1910,0.3465818759936407
1911,0.05787025880765338
1911,0.07562048983162038
1911,0.32150615496017376
1912,0.089804992072184
1912,0.24178261746319823
1913,0.09811513591069007
